dolocni clen;nemsko;slovensko
der;Vater;oèe
die;Mutter;mama
die;Schwester;sestra
der;Bruder;brat
die;Cousine;sestrièna
der;Cousin;bratranec
die;Tante;teta
der;Onkel;stric
die;Grossmutter;babica
der;Grossvater;dedek
