dolocni clen;nemsko;slovensko
die;Hose;hlaèe
das;Hemd;srajca
die;Muetze;kapa
das;T-Shirt;majica
der;Guertel;pas
die;Handschuhe;rokavice
die;Jacke;jopiè
das;Unterhemd;spodnja majica
die;Unterhose;spodnjice
die;Schuhe;èevlji
die;Jeans;kavbojke
